x	y
0.20506982119472772	1.452297412719086
0.34038542335281696	-2.274579764891734
0.48585658730287196	2.513888352417859
0.7225904012176254	1.1068443185173882
0.7700460265200604	0.3115833477634532
0.8895688997087015	-0.592773462273655
1.0253042552045888	0.4398421344952576
1.4106392571291804	2.8255900116753097
1.4648420163690345	0.7548789587299587
1.6969133566372496	5.7298392563982805
2.0501805576307	0.35267732027225973
2.0528455664783407	1.9776641565528577
2.272752924262452	1.285037685844321
2.425577569402131	0.6668923290477803
2.934487254607616	2.569120672662704
3.4534004440396426	3.5605831459638506
3.4650919107719105	5.648097512826309
3.4678257979484117	4.335469760981657
3.572074523389843	4.137891241552435
3.8629993931613784	4.923954139745465
3.9081933462311156	1.537845289415623
4.155318154952429	5.475207591936769
4.3618234376049445	8.55397670387373
4.576329860848537	3.753017593862039
4.704692922330999	9.803336254371164
4.767731152597385	6.6885539833929535
4.798714016263171	8.760629114174794
4.8385891200799005	9.667091740996824
5.486963311643964	13.877544422510898
5.908372460812458	11.358924460663879
6.201080494835455	13.82797830181337
6.345632739217271	14.681033513766355
6.44362618537944	17.44344449832865
6.619549748922823	12.223175154610171
6.638993248918517	12.627283719500479
7.145766703507985	17.087306062466325
7.341009538227943	19.24869638670867
7.864753095930305	27.458992904866953
8.019825766662155	24.310451582106037
8.314447935798928	30.860999635723264
8.401218356918921	25.667201301021723
8.793938547906802	33.64287263203433
8.891037049867862	33.35985358678072
8.952876825029637	30.61087475019229
9.127811669183444	38.78858551478087
9.167937146511818	34.747758488804834
9.46284023448215	38.16589306118412
9.577350120769065	37.05614258777641
9.837520526357945	40.65802574206154
9.874258263237746	38.26875818748228
